Transaction_ID,Transaction_Date,Region,Province,City,Sales_Channel,Distributor_Name,Outlet_ID,Outlet_Type,Salesperson_ID,Product_Category,Product_Name,SKU_Code,Unit_Price,Quantity_Sold,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Promotion_Type,Return_Flag,Payment_Method,Delivery_Time_Days
TRX2021816886,07/02/2021,Bandung,West Java,Bandung,General Trade,PT Global Snack Dist,OUT5950,Minimarket,SP597,Candy,Fruit Jelly Candy,SKU37175,28347,91,2579577,0.2442,629932.7,1949644.3,Retail Discount,No,Cash,7
TRX2021609684,19/01/2021,Makassar,South Sulawesi,Makassar,E-commerce,PT Nusantara Supply,OUT2940,Traditional Store,SP989,Candy,Mint Pop Candy,SKU45236,37739,115,4339985,0.2339,1015122.49,3324862.51,Bundle Promo,No,Transfer,14
TRX2021720176,01/08/2021,Bandung,West Java,Bandung,E-commerce,PT Global Snack Dist,OUT9414,Minimarket,SP368,Snacks,Spicy Curl,SKU79670,29194,191,5576054,0.0625,348503.38,5227550.62,Retail Discount,No,Transfer,6
TRX2021784704,2021-11-28,Medan,North Sumatra,Medan,General Trade,PT Maju Jaya Distribusi,OUT9534,Supermarket,SP538,Biscuits, Golden Cream Biscuit ,SKU49593,15912,184,2927808,0.177,518222.02,2409585.98,Bundle Promo,No,Transfer,9
TRX2021829711,09/12/2021,Makassar,South Sulawesi,Makassar,Distributor,PT Sinar Distribusi,OUT4927,Minimarket,SP149,Candy,Caramel Drop Candy,SKU36595,42102,44,1852488,0.0255,47238.44,1805249.56,None,No,Credit Term,1
TRX2021144589,2021-09-03,Surabaya,East Java,Surabaya,E-commerce,PT Maju Jaya Distribusi,OUT9479,Traditional Store,SP621,Snacks, Crunchy Bite ,SKU97664,3535,97,342895,0.1044,35798.24,307096.76,,No,Transfer,10
TRX2021244534,22/01/2021,Bandung,West Java,Bandung,Modern Trade,PT Sinar Distribusi,OUT7308,Online Store,SP868,Snacks,Savory Chips,SKU69889,35031,103,3608193,0.216,779369.69,2828823.31,Bundle Promo,No,Credit Term,2
TRX2021937106,2021-02-07,Makassar,South Sulawesi,Makassar,E-commerce,PT Global Snack Dist,OUT6199,Online Store,SP210,Beverages, Energy Cocoa Drink ,SKU19692,3727,175,652225,0.0657,42851.18,609373.82,Retail Discount,No,Transfer,8
TRX2021301814,2021-12-24,Bandung,West Java,Bandung,Distributor,PT Nusantara Supply,OUT4306,Traditional Store,SP317,Snacks,Savory Chips,SKU49500,20383,139,2833237,0.2294,649944.57,2183292.43,,No,Credit Term,12
TRX2021790134,2021-10-29,Yogyakarta,DI Yogyakarta,Yogyakarta,General Trade,,OUT1733,Minimarket,SP951,Biscuits,Golden Cream Biscuit,SKU61343,11842,7,82894,0.0881,7302.96,75591.04,,No,Credit Term,12
