Transaction_ID,Transaction_Date,Region,Province,City,Sales_Channel,Distributor_Name,Outlet_ID,Outlet_Type,Salesperson_ID,Product_Category,Product_Name,SKU_Code,Unit_Price,Quantity_Sold,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Promotion_Type,Return_Flag,Payment_Method,Delivery_Time_Days
TRX2020309691,08/10/2020,Semarang,Central Java,Semarang,Distributor,PT Nusantara Supply,OUT3722,Online Store,SP893,Candy,Mint Pop Candy,SKU45842,16522,132,2180904,0.0063,13739.7,2167164.3,,No,Transfer,11
TRX2020252223,2020-03-14,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Maju Jaya Distribusi,OUT7575,Supermarket,SP549,Candy,Fruit Jelly Candy,SKU46150,15052,19,285988,0.1959,56025.05,229962.95,None,No,Cash,5
TRX2020608637,2020-01-02,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Global Snack Dist,OUT3917,Traditional Store,SP181,Biscuits,Golden Cream Biscuit,SKU97699,13279,115,1527085,0.1098,167673.93,1359411.07,Seasonal Promo,No,Transfer,13
TRX2020708712,2020-10-29,Palembang,South Sumatra,Palembang,Distributor,PT Global Snack Dist,OUT7267,Traditional Store,SP968,Snacks,Spicy Curl,SKU77132,19062,142,2706804,0.0775,209777.31,2497026.69,,No,Transfer,5
TRX2020476568,12/08/2020,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Maju Jaya Distribusi,OUT2300,Minimarket,SP771,Beverages,Nutri Grain Drink,SKU77712,6647,150,997050,0.096,95716.8,901333.2,Bundle Promo,No,Credit Term,2
TRX2020822090,12/01/2020,Medan,North Sumatra,Medan,Modern Trade,PT Global Snack Dist,OUT8812,Traditional Store,SP947,Biscuits,Choco Delight Biscuit,SKU21701,10180,37,376660,0.212,79851.92,296808.08,Seasonal Promo,No,Transfer,6
TRX2020658948,25/01/2020,Makassar,South Sulawesi,Makassar,General Trade,PT Sinar Distribusi,OUT4256,Traditional Store,SP232,Biscuits, Butter Crunch Biscuit ,SKU38457,48415,184,8908360,0.0154,137188.74,8771171.26,Retail Discount,No,Transfer,13
TRX2020320311,2020-07-11,Semarang,Central Java,Semarang,E-commerce,,OUT2799,Traditional Store,SP533,Snacks,Savory Chips,SKU47549,32672,75,2450400,0.0274,67140.96,2383259.04,Seasonal Promo,No,Transfer,12
TRX2020236416,2020-01-16,Yogyakarta,DI Yogyakarta,Yogyakarta,General Trade,PT Global Snack Dist,OUT1340,Traditional Store,SP875,Candy,Mint Pop Candy,SKU54140,3968,47,186496,0.0869,16206.5,170289.5,Retail Discount,No,Cash,7
TRX2020187732,2020-04-06,Yogyakarta,DI Yogyakarta,Yogyakarta,Modern Trade,PT Maju Jaya Distribusi,OUT4541,Traditional Store,SP508,Snacks,Savory Chips,SKU81000,43810,100,4381000,0.1505,659340.5,3721659.5,Seasonal Promo,No,Cash,6
TRX2020931497,2020-08-22,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,PT Maju Jaya Distribusi,OUT2549,Online Store,SP678,Candy,Mint Pop Candy,SKU24708,7281,173,1259613,0.0694,87417.14,1172195.86,Retail Discount,No,Credit Term,12
TRX2020442270,2020-01-04,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Sinar Distribusi,OUT9994,Minimarket,SP297,Nuts,Spicy Peanut Mix,SKU96992,26268,9,236412,0.1582,37400.38,199011.62,Retail Discount,No,Cash,4
TRX2020953716,11/04/2020,Semarang,Central Java,Semarang,Modern Trade,PT Global Snack Dist,OUT9779,Minimarket,SP408,Biscuits,Choco Delight Biscuit,SKU87251,8722,137,1194914,0.0127,15175.41,1179738.59,Bundle Promo,No,Transfer,3
TRX2020743441,2020-04-01,Medan,North Sumatra,Medan,General Trade,PT Sinar Distribusi,OUT3043,Traditional Store,SP629,Candy,Caramel Drop Candy,SKU23095,23800,179,4260200,0.0024,10224.48,4249975.52,Seasonal Promo,No,Transfer,3
TRX2020958977,2020-07-18,Yogyakarta,DI Yogyakarta,Yogyakarta,Modern Trade,PT Maju Jaya Distribusi,OUT3625,Traditional Store,SP814,Snacks,Savory Chips,SKU21372,28846,110,3173060,0.0489,155162.63,3017897.37,Retail Discount,No,Credit Term,12
TRX2020463450,29/11/2020,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Nusantara Supply,OUT6146,Minimarket,SP903,Nuts,Spicy Peanut Mix,SKU18544,26071,56,1459976,0.1083,158115.4,1301860.6,Seasonal Promo,No,Cash,5
TRX2020981011,13/02/2020,Surabaya,East Java,Surabaya,General Trade,PT Global Snack Dist,OUT6889,Supermarket,SP970,Nuts,Salted Cashew Mix,SKU18262,8714,78,679692,0.0417,28343.16,651348.84,Seasonal Promo,No,Transfer,8
TRX2020649748,25/08/2020,Makassar,South Sulawesi,Makassar,Distributor,PT Global Snack Dist,OUT9193,Supermarket,SP358,Nuts,Spicy Peanut Mix,SKU44016,2511,119,298809,0.2099,62720.01,236088.99,Seasonal Promo,No,Transfer,11
TRX2020516526,25/08/2020,Semarang,Central Java,Semarang,E-commerce,PT Maju Jaya Distribusi,OUT6856,Online Store,SP620,Nuts, Honey Roasted Peanut ,SKU50662,27495,159,4371705,0.0638,278914.78,4092790.22,None,No,Transfer,10
TRX2020854722,14/01/2020,Jakarta,DKI Jakarta,Jakarta,General Trade,PT Global Snack Dist,OUT5770,Online Store,SP165,Beverages,Choco Malt Drink,SKU36930,21871,30,656130,0.1888,123877.34,532252.66,,No,Cash,2
TRX2020745700,2020-09-09,Medan,North Sumatra,Medan,Distributor,PT Nusantara Supply,OUT6469,Minimarket,SP879,Biscuits,Golden Cream Biscuit,SKU55684,24856,137,3405272,0.0829,282297.05,3122974.95,Seasonal Promo,No,Cash,1
TRX2020402444,19/12/2020,Semarang,Central Java,Semarang,Modern Trade,PT Maju Jaya Distribusi,OUT9827,Supermarket,SP865,Candy,Mint Pop Candy,SKU87876,32865,22,723030,0.1052,76062.76,646967.24,,No,Cash,9
TRX2020594129,2020-10-27,Surabaya,East Java,Surabaya,E-commerce,PT Global Snack Dist,OUT6905,Supermarket,SP990,Candy, Mint Pop Candy ,SKU40269,44624,7,312368,0.236,73718.85,238649.15,,No,Credit Term,9
TRX2020990493,17/12/2020,Makassar,South Sulawesi,Makassar,Distributor,PT Global Snack Dist,OUT6726,Traditional Store,SP334,Biscuits,Choco Delight Biscuit,SKU91942,47854,51,2440554,0.2199,536677.82,1903876.18,None,No,Credit Term,6
TRX2020288254,15/08/2020,Bandung,West Java,Bandung,Modern Trade,PT Nusantara Supply,OUT3952,Online Store,SP158,Nuts,Salted Cashew Mix,SKU11838,39137,107,4187659,0.199,833344.14,3354314.86,Bundle Promo,No,Credit Term,9
TRX2020786904,2020-03-10,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Global Snack Dist,OUT1493,Supermarket,SP547,Biscuits,Butter Crunch Biscuit,SKU53793,25962,81,2102922,0.1633,343407.16,1759514.84,Seasonal Promo,No,Credit Term,11
TRX2020786860,2020-10-22,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Maju Jaya Distribusi,OUT3707,Minimarket,SP669,Beverages,Energy Cocoa Drink,SKU19882,45079,27,1217133,0.0758,92258.68,1124874.32,None,No,Credit Term,2
TRX2020325562,2020-02-15,Palembang,South Sumatra,Palembang,General Trade,PT Maju Jaya Distribusi,OUT3812,Traditional Store,SP563,Beverages,Nutri Grain Drink,SKU70768,40006,165,6600990,0.1996,1317557.6,5283432.4,Retail Discount,No,Cash,13
TRX2020772226,27/03/2020,Bandung,West Java,Bandung,E-commerce,PT Global Snack Dist,OUT7401,Supermarket,SP813,Biscuits,Butter Crunch Biscuit,SKU50614,43208,91,3931928,0.0153,60158.5,3871769.5,,No,Transfer,7
TRX2020282526,2020-12-21,Jakarta,DKI Jakarta,Jakarta,E-commerce,PT Maju Jaya Distribusi,OUT7642,Minimarket,SP119,Snacks,Spicy Curl,SKU62401,44337,31,1374447,0.0631,86727.61,1287719.39,Bundle Promo,No,Transfer,2
TRX2020312677,2020-06-29,Medan,North Sumatra,Medan,E-commerce,PT Nusantara Supply,OUT6426,Supermarket,SP880,Biscuits,Choco Delight Biscuit,SKU67414,5792,74,428608,0.2033,87136.01,341471.99,Bundle Promo,No,Transfer,11
TRX2020786031,2020-11-19,Makassar,South Sulawesi,Makassar,General Trade,,OUT1984,Supermarket,SP965,Biscuits,Butter Crunch Biscuit,SKU71501,4277,52,222404,0.0471,10475.23,211928.77,Bundle Promo,No,Cash,7
TRX2020183611,13/12/2020,Yogyakarta,DI Yogyakarta,Yogyakarta,Distributor,PT Global Snack Dist,OUT4086,Supermarket,SP302,Biscuits,Choco Delight Biscuit,SKU68631,40640,135,5486400,0.1032,566196.48,4920203.52,,No,Cash,1
TRX2020724258,02/08/2020,Jakarta,DKI Jakarta,Jakarta,Modern Trade,PT Global Snack Dist,OUT3710,Supermarket,SP865,Nuts,Honey Roasted Peanut,SKU49810,40762,116,4728392,0.0363,171640.63,4556751.37,,No,Credit Term,11
TRX2020169617,01/07/2020,Medan,North Sumatra,Medan,General Trade,PT Maju Jaya Distribusi,OUT9263,Supermarket,SP934,Candy,Caramel Drop Candy,SKU42284,18470,155,2862850,0.1061,303748.39,2559101.62,Seasonal Promo,No,Cash,14
TRX2020832673,2020-11-20,Jakarta,DKI Jakarta,Jakarta,General Trade,PT Nusantara Supply,OUT6428,Online Store,SP236,Snacks,Crunchy Bite,SKU15041,10415,37,385355,0.0981,37803.33,347551.67,Retail Discount,No,Cash,12
TRX2020902381,14/03/2020,Semarang,Central Java,Semarang,General Trade,PT Global Snack Dist,OUT6305,Online Store,SP857,Snacks,Crunchy Bite,SKU72062,38627,182,7030114,0.206,1448203.48,5581910.52,Bundle Promo,No,Cash,8
TRX2020752103,13/03/2020,Medan,North Sumatra,Medan,E-commerce,PT Nusantara Supply,OUT8431,Supermarket,SP928,Candy,Fruit Jelly Candy,SKU77217,21878,74,1618972,0.1899,307442.78,1311529.22,None,No,Credit Term,11
TRX2020975824,03/07/2020,Palembang,South Sumatra,Palembang,E-commerce,PT Global Snack Dist,OUT1303,Traditional Store,SP144,Snacks,Spicy Curl,SKU56952,8603,127,1092581,0.1064,116250.62,976330.38,None,No,Transfer,14
TRX2020323746,2020-05-27,Medan,North Sumatra,Medan,E-commerce,PT Sinar Distribusi,OUT4225,Traditional Store,SP865,Nuts,Spicy Peanut Mix,SKU17824,12292,196,2409232,0.11,265015.52,2144216.48,Seasonal Promo,No,Credit Term,2
TRX2020536013,07/08/2020,Surabaya,East Java,Surabaya,E-commerce,PT Global Snack Dist,OUT9648,Online Store,SP806,Snacks, Savory Chips ,SKU41501,21693,145,3145485,0.1044,328388.63,2817096.37,None,No,Credit Term,4
TRX2020229595,30/11/2020,Yogyakarta,DI Yogyakarta,Yogyakarta,Modern Trade,PT Nusantara Supply,OUT2571,Online Store,SP484,Snacks,Crunchy Bite,SKU21265,26933,68,1831444,0.1441,263911.08,1567532.92,None,No,Credit Term,2
TRX2020693489,2020-01-18,Yogyakarta,DI Yogyakarta,Yogyakarta,E-commerce,PT Global Snack Dist,OUT3853,Minimarket,SP233,Candy, Fruit Jelly Candy ,SKU48598,48161,111,5345871,0.2338,1249864.64,4096006.36,None,No,Credit Term,3
TRX2020365039,19/12/2020,Surabaya,East Java,Surabaya,Distributor,PT Maju Jaya Distribusi,OUT5258,Minimarket,SP198,Snacks,Crunchy Bite,SKU12226,39646,189,7493094,0.0009,6743.78,7486350.22,Seasonal Promo,No,Transfer,8
